Entity,LONGITUDE,lat,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged age-standardized","Annual freshwater withdrawals, total (billion cubic meters)",Premature_Death_Count,Health_Impact,Total discharges to Inland waters(million m3),Total discharges to the sea(million m3),"Agricultural (incl. forestry + fisheries) wastewater, all sources, direct discharges(million m3)","Urban wastewater, all sources, discharged without treatment(million m3)","Industrial wastewater, all sources, discharged without treatment(million m3)",Total Wastewater
Australia,133.775131,-25.274399,2015,0.097003154,9220000000,130,Medium,367.031,1374.177,0.5,121.079,55,176.579
Australia,133.775131,-25.274399,2016,0.09313502,10623000000,133,Medium,372.351,1327.772,974.1,121.079,62.34,1157.519
Australia,133.775131,-25.274399,2017,0.08960168,12058641000,133,Medium,379.4445,1449.9057,242.6,151.84,72.18,466.62
Australia,133.775131,-25.274399,2018,0.08764887,12425402000,135,Medium,324.3432,1359.3658,169.3235,151.84,55,376.1635
Australia,133.775131,-25.274399,2019,0.08515576,9782612000,138,Medium,303.2444,1352.0805,38.5,107.55,55,201.05
Belarus,27.953388,53.709808,2015,0.043378744,1448000000,32,Medium,608.67,1183.7,213.74,121.079,50.2,385.019
Belarus,27.953388,53.709808,2016,0.041745514,1452000000,32,Medium,784.41,1490.1301,245,112.92,43.3193,401.2393
Belarus,27.953388,53.709808,2017,0.04000591,1397000000,31,Medium,161.42,587.6,241.2,51.72,48.0774,340.9974
Belarus,27.953388,53.709808,2018,0.037791885,1390000000,29,Medium,2358.63,1289,242.6,137.27,553.2,933.07
Belarus,27.953388,53.709808,2019,0.036095764,1358000000,29,Medium,367.031,1407.5504,216.274,137.27,49.59,403.134
Belgium,4.469936,50.503887,2015,0.107172705,3994000000,120,Medium,2311.8,0,6.2,137.27,582,725.47
Belgium,4.469936,50.503887,2016,0.102727585,4193040400,121,Medium,2358.63,0,5.04,112.92,614.5,732.46
Belgium,4.469936,50.503887,2017,0.09880109,4392081000,121,Medium,2358.63,0,5.05,107.55,573.9,686.5
Belgium,4.469936,50.503887,2018,0.096345514,4400944700,121,Medium,2197.66,0,5.82,151.84,573.9,731.56
Belgium,4.469936,50.503887,2019,0.0943147,4400944700,123,Medium,2197.66,0,6.09,107.55,582,695.64
